Date,Open,High,Low,Close,Adj Close,Volume
02-08-2012,371.049988,373.799988,368.375,369.774994,332.252808,3645704
03-08-2012,367.5,374,365.274994,371.274994,333.600555,5003144
06-08-2012,374.024994,394.700012,374.024994,393.024994,353.143524,17091032
07-08-2012,393.024994,397.975006,388.875,391.875,352.110199,8992598
08-08-2012,392.524994,399.5,391.274994,395.399994,355.277527,8398568
09-08-2012,394.450012,398.200012,388.325012,390.075012,350.49292,5828902
10-08-2012,388.825012,394.5,387.075012,391.049988,351.368896,4881736
13-08-2012,389.75,395,389.75,394.075012,354.086975,2826916
14-08-2012,393.950012,401,393.5,399.774994,359.208588,7547228
16-08-2012,401.024994,410.924988,399.549988,408.075012,366.666382,9889474
17-08-2012,408.950012,412.450012,404.825012,408.049988,366.643921,6551276
21-08-2012,408,411.950012,406.149994,407.125,365.812775,5055064
22-08-2012,404.600006,407.75,402.850006,403.899994,362.915009,3999492
23-08-2012,405.274994,405.700012,393.975006,397.25,356.93985,7616864
24-08-2012,395.875,397.25,389.350006,391.049988,351.368896,6911260
27-08-2012,393,398.100006,391.75,393.674988,353.72757,4185058
28-08-2012,393.424988,396.950012,389.274994,395.100006,355.007996,4011248
29-08-2012,395.5,398.75,390.149994,391.075012,351.391418,4042402
30-08-2012,389.875,395.924988,384.299988,391.700012,351.953033,12455822
31-08-2012,390,392.200012,381.350006,383.200012,344.315521,6757726
03-09-2012,384,384.975006,380.024994,381.524994,342.810455,4475722
04-09-2012,381.975006,390.575012,381.100006,389.799988,350.245758,4002478
05-09-2012,387.625,389.975006,382.100006,385.575012,346.449524,6025264
06-09-2012,383.149994,387.299988,382,384.100006,345.124176,2424210
07-09-2012,389.350006,398.25,389.25,395.875,355.704346,6318910
08-09-2012,,,,,,
10-09-2012,400,401.674988,394.575012,396.024994,355.839081,4012136
11-09-2012,394.75,397.924988,391.600006,395.5,355.367401,6244396
12-09-2012,396.75,399.850006,394.725006,399.049988,358.557129,3553506
13-09-2012,399.049988,404.25,397.149994,399.575012,359.0289,5338738
14-09-2012,406.5,422.850006,404.774994,420.875,378.167511,16600944
17-09-2012,424.049988,440.799988,424.049988,436.875,392.543945,19397872
18-09-2012,435.100006,436.950012,425.649994,427.799988,384.389801,7907208
20-09-2012,420.350006,424.149994,414.125,416.25,374.011841,6999270
21-09-2012,416.5,427.350006,416,425.149994,382.008698,16428548
24-09-2012,425,428.899994,416.375,418.174988,375.741486,6814066
25-09-2012,419,422.399994,415.125,419.875,377.268951,6326376
26-09-2012,419,424.850006,416.924988,422.375,379.515289,7615422
27-09-2012,422.600006,424,412.125,414.924988,372.821228,13907170
28-09-2012,418.5,423.950012,417.174988,418.600006,376.123352,6454098
01-10-2012,420,421.149994,414.625,416.75,374.46109,3982938
03-10-2012,417.225006,426.725006,417.125,423.049988,380.121765,10013278
04-10-2012,425.274994,429.450012,424.549988,426.450012,383.176819,5772464
05-10-2012,429.950012,431,341.174988,428.899994,385.378235,7184276
08-10-2012,427.274994,427.274994,408.125,409.700012,368.126465,9551586
09-10-2012,412.75,413.350006,406.549988,407.649994,366.284485,5303922
10-10-2012,405.5,411.149994,403.700012,408,366.598999,4288650
11-10-2012,409.5,411,404.649994,409.975006,368.373566,5420676
12-10-2012,409.399994,413.200012,408.024994,409.450012,367.901825,4858090
15-10-2012,409.5,414.950012,409.5,411.524994,369.766266,5111650
16-10-2012,419.450012,419.975006,405,406.225006,365.004028,10136274
17-10-2012,408.024994,408.700012,400.774994,402.575012,361.724487,9561824
18-10-2012,403.625,408,398.5,405.649994,364.487457,12161372
19-10-2012,403.850006,405.25,399.674988,401.399994,360.668701,5782564
22-10-2012,397.600006,408.475006,395.850006,407.799988,366.41922,6475922
23-10-2012,406.75,407.399994,402.399994,404.975006,363.880951,4340214
25-10-2012,405.049988,409.350006,403.600006,405.200012,364.08313,8254898
29-10-2012,401.174988,407.200012,401.174988,405.600006,364.442505,5022484
30-10-2012,405,405.899994,399.575012,401.625,360.87088,4268740
31-10-2012,401.575012,403.674988,399,402.75,361.881714,4307638
01-11-2012,397.5,404.399994,394.350006,403.549988,362.600464,8402312
02-11-2012,406,407.450012,401.25,403.975006,362.982391,5279228
05-11-2012,401.825012,404.475006,400.924988,403.075012,362.173767,2316256
06-11-2012,402,403.700012,398.125,402.725006,361.859283,7063286
07-11-2012,401,402.649994,399,400.424988,359.792633,4762768
08-11-2012,396.5,399.149994,394.875,398.299988,357.88324,5675474
09-11-2012,396.674988,401.75,392.5,393.825012,353.862366,4843820
11-11-2012,,,,,,
12-11-2012,392.924988,394.700012,389.5,393.325012,353.413147,5788254
15-11-2012,394.424988,394.424988,388.524994,392.299988,352.492096,6972880
16-11-2012,393.700012,396.325012,385.5,387.575012,348.246613,6563936
19-11-2012,387.625,389.125,380.674988,387.149994,347.864716,9474228
20-11-2012,390.350006,390.350006,381.100006,382.674988,343.84375,4312918
21-11-2012,383.25,386.950012,380.549988,385.600006,346.471954,3937528
22-11-2012,386.524994,386.850006,380.700012,382.924988,344.06842,4794262
23-11-2012,383,387.899994,383,386.875,347.617554,3414790
26-11-2012,387.450012,389.725006,385.5,386.825012,347.572662,2076824
27-11-2012,388.5,394,387,393.399994,353.480469,4941320
29-11-2012,393,402,391.325012,399.149994,358.647003,8966978
30-11-2012,398.024994,404,395,396.850006,356.580444,8340962
03-12-2012,397.5,403.5,394.875,402,361.207825,4718034
04-12-2012,403.075012,412.850006,403,412.350006,370.507538,6985148
05-12-2012,414.125,418.549988,410.299988,416.299988,374.056763,6179258
06-12-2012,417.975006,422.924988,411,421.950012,379.133423,5273370
07-12-2012,420.524994,424.850006,415.225006,417.299988,374.955261,6029480
10-12-2012,417.299988,418.975006,410.625,414.149994,372.124939,3738632
11-12-2012,416,419.174988,407.25,410.024994,368.418488,7430516
12-12-2012,412.5,417.399994,409.674988,416.299988,374.056763,4628088
13-12-2012,416.299988,420.5,415.200012,417.125,374.798035,5304540
14-12-2012,417.25,423.399994,414.25,419.625,377.044281,4091836
17-12-2012,417.25,422.200012,415.5,417.075012,374.753143,3312802
18-12-2012,417.25,419.725006,413,415.700012,373.517609,3655586
19-12-2012,417.600006,421.524994,417.024994,419.75,377.156677,3986030
20-12-2012,420.975006,420.975006,414.75,418.924988,376.415344,4378544
21-12-2012,416.5,417.25,411.100006,412.625,370.754639,4298602
24-12-2012,412.799988,413.674988,407.799988,410.350006,368.71051,2607694
